id;type_alerte;niveau_severite;timestamp;est_traitee
1;from starboard;clamp;2025-07-20T17:16:34;false
2;if;victorious;2025-07-20T19:51:54;false
3;silent;cross whoever in;2025-07-19T23:47:03;true
4;round yesterday;lox procrastinate comb;2025-07-20T18:36:48;false
5;cheerfully gadzooks delicious;deploy ridge offset;2025-07-20T15:31:28;false
6;critical mechanically;bootleg;2025-07-20T16:57:31;false
7;beyond joint;incidentally suspiciously lovingly;2025-07-20T12:14:15;true
8;whisper where wilted;atop incidentally aha;2025-07-20T11:12:08;true
9;offensively;even ornate what;2025-07-20T07:46:45;true
10;than;over;2025-07-20T02:25:17;true
