id;montant;type_transaction;date_transaction;statut;moyen_validation;justificatif
1;23908.73;often fooey;2025-07-20T01:18:06;afore;however;../fake-data/blob/hipster.txt
2;11688.94;huzzah excluding;2025-07-19T23:42:06;while;stealthily;../fake-data/blob/hipster.txt
3;3192.89;thorn loftily;2025-07-20T02:04:36;scare;hmph preside;../fake-data/blob/hipster.txt
4;23178.44;accidentally save;2025-07-20T15:30:56;excluding;versus;../fake-data/blob/hipster.txt
5;19962.05;which;2025-07-20T21:40:23;limited ack small;schlep accredit replicate;../fake-data/blob/hipster.txt
6;21352.92;cute violent;2025-07-20T14:30:10;whenever closely electronics;defrag when laughter;../fake-data/blob/hipster.txt
7;18988.63;um fiercely rationale;2025-07-20T20:20:13;glittering;sticky flint;../fake-data/blob/hipster.txt
8;17728.13;speedily;2025-07-20T04:47:00;abaft;er barring;../fake-data/blob/hipster.txt
9;17710.49;pine;2025-07-20T12:10:46;bitter failing mom;excluding reproach;../fake-data/blob/hipster.txt
10;19973.59;amongst next;2025-07-20T15:00:52;anenst before;hunt;../fake-data/blob/hipster.txt
